Instance ID,Ease (% solved)
pytest-dev__pytest-5227,100.0
sympy__sympy-20212,100.0
sympy__sympy-24152,100.0
matplotlib__matplotlib-23964,100.0
django__django-14855,100.0
django__django-14752,100.0
django__django-11039,100.0
django__django-11099,100.0
sympy__sympy-13480,100.0
pytest-dev__pytest-11143,100.0
django__django-11133,100.0
django__django-14382,100.0
django__django-13658,100.0
sympy__sympy-14774,100.0
django__django-16046,100.0
django__django-16527,100.0
django__django-16255,100.0
scikit-learn__scikit-learn-14894,100.0
mwaskom__seaborn-3010,100.0
django__django-14915,85.71428571428571
django__django-11049,85.71428571428571
django__django-16379,85.71428571428571
django__django-16873,85.71428571428571
django__django-11583,85.71428571428571
django__django-16595,85.71428571428571
scikit-learn__scikit-learn-13779,85.71428571428571
django__django-13933,85.71428571428571
pydata__xarray-5131,85.71428571428571
scikit-learn__scikit-learn-13439,85.71428571428571
django__django-12286,85.71428571428571
django__django-16139,85.71428571428571
django__django-12453,85.71428571428571
pytest-dev__pytest-7373,85.71428571428571
django__django-13590,85.71428571428571
pytest-dev__pytest-5692,85.71428571428571
django__django-12700,85.71428571428571
sympy__sympy-13647,85.71428571428571
django__django-10914,85.71428571428571
psf__requests-2317,71.42857142857143
sympy__sympy-21847,71.42857142857143
sympy__sympy-17655,71.42857142857143
django__django-11179,71.42857142857143
sympy__sympy-22714,71.42857142857143
django__django-12983,71.42857142857143
django__django-16041,71.42857142857143
sympy__sympy-24213,71.42857142857143
django__django-15347,71.42857142857143
psf__requests-2674,71.42857142857143
matplotlib__matplotlib-23913,71.42857142857143
psf__requests-863,71.42857142857143
django__django-13710,71.42857142857143
django__django-15851,71.42857142857143
django__django-14238,71.42857142857143
sphinx-doc__sphinx-8713,71.42857142857143
django__django-13447,71.42857142857143
scikit-learn__scikit-learn-11281,71.42857142857143
sympy__sympy-12481,71.42857142857143
django__django-13230,71.42857142857143
scikit-learn__scikit-learn-15535,71.42857142857143
sphinx-doc__sphinx-8721,71.42857142857143
django__django-12497,57.14285714285714
scikit-learn__scikit-learn-13584,57.14285714285714
sympy__sympy-13971,57.14285714285714
sphinx-doc__sphinx-8595,57.14285714285714
django__django-11848,57.14285714285714
scikit-learn__scikit-learn-25570,57.14285714285714
sympy__sympy-17022,57.14285714285714
sympy__sympy-17139,57.14285714285714
django__django-12915,57.14285714285714
django__django-13028,57.14285714285714
sympy__sympy-18057,57.14285714285714
matplotlib__matplotlib-26020,57.14285714285714
sympy__sympy-18532,57.14285714285714
scikit-learn__scikit-learn-13496,57.14285714285714
pytest-dev__pytest-7432,57.14285714285714
django__django-14999,57.14285714285714
scikit-learn__scikit-learn-10297,57.14285714285714
django__django-12708,57.14285714285714
sympy__sympy-23117,57.14285714285714
astropy__astropy-14995,57.14285714285714
django__django-14787,57.14285714285714
scikit-learn__scikit-learn-13241,57.14285714285714
sympy__sympy-21055,42.857142857142854
django__django-14608,42.857142857142854
django__django-13401,42.857142857142854
django__django-14016,42.857142857142854
matplotlib__matplotlib-23562,42.857142857142854
django__django-13158,42.857142857142854
sympy__sympy-15678,42.857142857142854
django__django-11999,42.857142857142854
django__django-11815,42.857142857142854
sympy__sympy-18621,42.857142857142854
sympy__sympy-20154,42.857142857142854
scikit-learn__scikit-learn-12471,42.857142857142854
sympy__sympy-24066,42.857142857142854
django__django-15814,42.857142857142854
django__django-15789,42.857142857142854
sympy__sympy-13471,42.857142857142854
